"id","scientificName","scientificNameAuthorship","eventDate","decimalLongitude","decimalLatitude","institutionCode","collectionCode","catalogNumber","scientificNameID","originalscientificname","acceptedNameUsage","acceptedNameUsageID","accessRights","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","behavior","bibliographicCitation","class","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","countryCode","county","dataGeneralizations","datasetID","dateIdentified","depth","division","dynamicProperties","establishmentMeans","eventID","eventRemarks","eventTime","family","fieldNotes","fieldNumber","footprintSRS","footprintWKT","forma","genus","geodeticDatum","habitat","higherClassification","higherGeography","higherGeographyID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identifiedBy","individualCount","individualID","informationWithheld","infraclass","infrakingdom","infraorder","infraphylum","institutionID","island","islandGroup","kingdom","language","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","materialSampleID","maximumDepthInMeters","minimumDepthInMeters","modified","municipality","nameAccordingTo","nameAccordingToID","namePublishedIn","namePublishedInID","occurrenceID","occurrenceRemarks","occurrenceStatus","order","originalNameUsage","originalNameUsageID","otherCatalogNumbers","ownerInstitutionCode","parvorder","phylum","qc","recordNumber","recordedBy","references","reproductiveCondition","resource_id","rights","rightsHolder","section","sex","source","species","stateProvince","subclass","subdivision","subfamily","subforma","subgenus","subkingdom","suborder","subphylum","subsection","subspecies","subterclass","subtribe","subvariety","superclass","superfamily","superorder","supertribe","taxonConceptID","taxonID","taxonRank","taxonRemarks","taxonomicStatus","taxonomicgroup","tribe","type","typeStatus","valid_id","variety","vernacularName","waterBody","worms_id","year"
213,"Acropora palmata","(Lamarck, 1816)","2003-06-02 12:00:00",-81.876953125,24.4520664215088,"AGRRA","agrra_benthic","59348","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,2.5,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"2003"
219,"Acropora palmata","(Lamarck, 1816)","2003-06-22 12:00:00",-83.0479965209961,12.1901302337646,"AGRRA","agrra_benthic","65360","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,2.15,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"2003"
230,"Acropora palmata","(Lamarck, 1816)","2003-05-20 12:00:00",-80.30149841308591,25.118749618530302,"AGRRA","agrra_benthic","60667","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,3,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"2003"
13137,"Acropora palmata","(Lamarck, 1816)","2000-08-19 12:00:00",-78.16416931152341,18.1735000610352,"AGRRA","agrra_benthic","42054","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,7.9,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"2000"
13161,"Acropora palmata","(Lamarck, 1816)","2001-03-12 12:00:00",-81.9271697998047,21.595783233642603,"AGRRA","agrra_benthic","44667","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,0.6,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"2001"
13174,"Acropora palmata","(Lamarck, 1816)","2001-03-12 12:00:00",-81.9572982788086,21.586366653442397,"AGRRA","agrra_benthic","43956","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,1.3,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"2001"
13188,"Acropora palmata","(Lamarck, 1816)","2000-08-15 12:00:00",-78.354133605957,18.3125495910645,"AGRRA","agrra_benthic","41958","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,1.5,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1072168575,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"2000"
16777,"Acropora palmata","(Lamarck, 1816)","1999-10-06 12:00:00",-66.88418579101561,11.8002328872681,"AGRRA","agrra_benthic","27457","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,2,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1072168575,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"1999"
16786,"Acropora palmata","(Lamarck, 1816)","1997-08-17 12:00:00",-77.9830322265625,25.128850936889602,"AGRRA","agrra_benthic","215","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,2.1,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"1997"
16800,"Acropora palmata","(Lamarck, 1816)","2001-06-03 12:00:00",-77.6025009155273,22.0247230529785,"AGRRA","agrra_benthic","49205","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,1,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"2001"
